"Source data for Figure 2B: Invagination of the membrane for 8 embryos (delta x), mean (mean delta) and adjusted mean in fixed tissues (mean delta fixed) as function of time during n.c. 14. NaN indicates that furrow canal could not be detected at that particular time."											
Time	delta 1	delta 2	delta 3	delta 4	delta 5	delta 6	delta 7	delta 8	 mean delta	mean delta fixed	
(min)	(um)	(um)	(um)	(um)	(um)	(um)	(um)	(um)	(um)	(um)	
0.875	NaN	1.9813	NaN	NaN	NaN	0.61509	NaN	NaN	1.2982	1.2333	0.032953908
1.875	NaN	1.7186	NaN	0	NaN	1.6089	0.57818	0.087701	0.79441	0.75469	0.020165397
2.875	NaN	2.0496	NaN	0.4255	0.57507	1.7429	0.71157	0.16171	0.9444	0.89718	0.023972745
3.875	NaN	2.847	NaN	1.2428	0.6894	1.6089	1.2051	0.21922	1.3021	1.237	0.033052772
4.875	1.0189	2.1853	NaN	0.70864	1.412	1.6751	2.3089	0.20021	1.3584	1.2905	0.034482298
5.875	1.1671	2.9275	1.9523	0.91533	1.6712	1.8071	2.3783	1.2297	1.7561	1.6683	0.044577154
6.875	1.7631	2.9275	2.4686	1.2428	2.0402	1.8754	2.64	1.9442	2.1127	2.0071	0.053629927
7.875	1.4634	3.4503	2.3853	2.0256	2.1501	2.2714	1.7514	2.2199	2.2147	2.1039	0.056216433
8.875	2.3553	3.0455	3.4991	2.3111	2.4717	2.7365	2.3414	2.3476	2.6385	2.5066	0.06697662
9.875	2.0561	2.5161	3.3578	2.0151	2.5868	2.2714	2.3622	2.9378	2.5129	2.3873	0.063788911
10.875	2.7995	2.9089	2.7979	2.5445	2.8893	2.4075	2.5098	3.0092	2.7333	2.5966	0.06938143
11.875	2.7995	2.5776	2.6595	2.7439	2.6685	2.869	2.7156	2.8075	2.7301	2.5936	0.069301269
12.875	2.5033	2.9751	3.1275	2.8146	2.6805	2.9401	3.3957	3.7447	3.0227	2.8716	0.076729459
13.875	2.5115	3.1071	3.7345	3.2754	2.878	3.2653	2.4918	3.2114	3.0594	2.9064	0.077659319
14.875	3.5378	3.3957	3.9676	3.6066	3.2969	3.795	3.2616	3.671	3.5665	3.3882	0.090533066
15.875	3.8423	3.5714	3.8739	3.6066	3.8377	3.8782	2.7156	3.7447	3.6338	3.4521	0.092240481
16.875	3.5378	3.9753	3.6503	3.6783	3.5064	3.6629	3.6912	4.2782	3.7475	3.5602	0.095128925
17.875	3.3896	3.969	3.1275	4.0027	3.9343	3.3989	3.675	4.333	3.7288	3.5423	0.094650635
18.875	3.8423	3.3064	3.4991	4.1197	3.8603	3.9942	3.9868	3.9478	3.8196	3.6286	0.09695658
19.875	4.2805	3.9027	4.0682	4.6539	3.9343	3.5966	4.8361	4.333	4.2007	3.9906	0.106629259
20.875	3.8362	4.171	4.3423	4.2114	4.1605	4.5905	4.1262	4.3942	4.229	4.0176	0.107350701
21.875	4.873	3.9753	4.3935	4.3401	4.5539	4.0614	4.5656	4.9952	4.4697	4.2463	0.11346159
22.875	5.4656	4.5786	4.1541	4.1386	4.3935	4.5905	4.9145	4.2627	4.5623	4.3341	0.115807615
23.875	5.0464	4.6989	4.5776	4.334	4.8822	4.0614	5.5212	4.5939	4.7145	4.4787	0.119671343
24.875	4.8782	5.1644	5.0333	5.002	4.5618	5.1877	5.3404	5.2699	5.0547	4.802	0.128309953
25.875	4.7302	5.1038	5.046	4.9333	4.9729	5.0683	5.8975	4.1055	4.9822	4.7331	0.126468938
26.875	5.0262	4.8966	5.4688	5.7943	4.7862	4.9218	5.9305	5.3263	5.2688	5.0054	0.133744823
27.875	5.0195	5.4346	5.2793	5.4346	5.2249	5.3865	6.004	6.9128	5.587	5.3077	0.141822311
28.875	5.7618	5.9013	6.0283	4.8729	5.3919	6.322	5.6354	6.1191	5.7541	5.4664	0.146062792
29.875	5.4656	6.2322	6.5958	5.9392	5.8496	6.4517	6.342	6.382	6.1573	5.8494	0.156296593
30.875	6.2063	6.5574	6.3564	6.4567	6.3609	6.7223	7.2356	6.1896	6.5106	6.1851	0.165266533
31.875	6.5135	6.5531	7.2471	6.5275	6.6491	6.9178	7.3747	6.5815	6.7955	6.4558	0.172499666
32.875	6.7975	7.547	7.482	6.3983	6.5552	6.9759	7.5671	6.9784	7.0377	6.6858	0.178645291
33.875	7.8394	7.953	8.0904	8.641	7.5027	6.6446	8.2775	7.6443	7.8241	7.4329	0.198607882
34.875	7.9829	7.9482	7.3424	8.6443	8.5348	7.189	9.0705	8.3205	8.1291	7.7226	0.206348697
35.875	8.4285	8.375	8.33	10.005	9.3729	8.1022	9.1658	7.9897	8.7211	8.2851	0.221378758
36.875	8.5755	10.065	8.7477	9.8385	10.002	9.4458	10.216	9.7016	9.574	9.0953	0.243027388
